,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Allstar True
117,118,Donte DiVincenzo,SG,27,NYK,37,19,21.3,3.7,8.0,0.468,2.5,5.8,0.439,1.2,2.2,0.543,0.627,0.8,1.0,0.763,0.7,2.3,3.1,2.0,1.1,0.3,1.0,1.9,10.8,0
118,119,Luka Don?i?,PG,24,DAL,34,34,36.8,11.4,23.5,0.485,4.0,10.4,0.38,7.4,13.1,0.569,0.569,6.8,8.7,0.778,0.7,7.4,8.1,9.1,1.4,0.6,3.9,1.7,33.6,1
119,120,Luguentz Dort,SF,24,OKC,35,35,28.7,3.7,8.1,0.46,1.8,4.4,0.412,1.9,3.8,0.515,0.57,1.8,2.3,0.81,1.3,2.7,4.0,1.4,0.9,0.8,0.9,3.1,11.1,0
120,121,Ayo Dosunmu,SG,24,CHI,37,6,22.9,3.1,6.8,0.458,1.0,2.9,0.34,2.2,4.0,0.544,0.53,0.8,1.0,0.763,0.7,1.8,2.5,2.0,0.7,0.4,0.8,1.8,8.0,0
121,122,Andre Drummond,C,30,CHI,39,7,16.0,3.1,5.7,0.536,0.0,0.1,0.0,3.1,5.6,0.541,0.536,1.5,2.6,0.559,3.4,5.1,8.5,0.5,1.2,0.6,1.2,1.8,7.6,0
122,123,Chris Duarte,SF,26,SAC,33,10,13.6,1.4,3.7,0.366,0.6,2.0,0.318,0.7,1.7,0.421,0.451,0.5,0.7,0.773,0.4,1.5,1.8,1.0,0.5,0.1,0.6,1.8,3.9,0
123,124,Kris Dunn,PG,29,UTA,31,13,17.3,2.0,4.5,0.453,0.5,1.4,0.372,1.5,3.1,0.49,0.511,0.4,0.5,0.688,0.6,2.3,2.9,4.1,0.9,0.4,1.2,1.7,4.9,0
124,125,Kevin Durant,PF,35,PHO,30,30,37.0,10.4,19.7,0.525,2.1,4.5,0.474,8.2,15.2,0.54,0.579,6.8,7.7,0.875,0.4,6.0,6.4,5.9,0.8,1.1,3.3,1.8,29.6,1
125,126,Jalen Duren,C,20,DET,23,22,29.9,6.1,9.5,0.647,0.0,0.1,0.0,6.1,9.4,0.653,0.647,1.7,2.3,0.704,3.5,7.9,11.4,2.5,0.4,1.0,2.1,3.2,13.9,0
126,127,Tari Eason,PF,22,HOU,22,0,21.8,4.0,8.6,0.466,0.8,2.3,0.36,3.2,6.3,0.504,0.513,1.0,1.5,0.636,2.1,4.9,7.0,1.2,1.4,0.9,0.9,2.3,9.8,0
127,128,Anthony Edwards,SG,22,MIN,34,34,34.8,9.1,19.7,0.46,2.6,6.6,0.388,6.5,13.1,0.496,0.525,5.6,6.6,0.845,0.7,4.6,5.4,4.9,1.3,0.6,3.5,1.9,26.3,1
128,129,Kessler Edwards,SF,23,SAC,27,0,4.9,0.6,1.4,0.421,0.3,0.9,0.375,0.3,0.5,0.5,0.539,0.1,0.1,0.75,0.1,0.6,0.7,0.3,0.1,0.1,0.0,0.3,1.6,0
129,130,Keon Ellis,SG,24,SAC,26,3,12.7,1.3,3.1,0.438,1.0,2.5,0.379,0.4,0.5,0.714,0.594,0.4,0.7,0.647,0.3,1.0,1.3,1.3,0.5,0.5,0.5,1.5,4.1,0
130,131,Joel Embiid,C,29,PHI,27,27,34.1,11.6,21.7,0.535,1.1,3.2,0.36,10.5,18.6,0.565,0.561,10.2,11.6,0.882,2.7,9.1,11.8,6.0,1.1,2.0,3.9,2.9,34.6,1
131,132,Drew Eubanks,C,26,PHO,33,2,16.3,2.3,3.9,0.585,0.1,0.1,1.0,2.2,3.8,0.575,0.596,1.2,1.5,0.76,1.4,2.8,4.3,0.9,0.3,0.9,1.1,1.8,5.8,0
132,133,Dante Exum,PG,28,DAL,30,14,19.5,3.7,6.4,0.575,0.9,2.1,0.452,2.8,4.4,0.634,0.648,1.0,1.3,0.75,0.6,2.3,2.9,2.9,0.6,0.2,0.9,1.6,9.3,0
133,134,Bruno Fernando,C,25,ATL,10,0,7.2,1.3,2.4,0.542,0.0,0.1,0.0,1.3,2.3,0.565,0.542,0.8,1.7,0.471,0.7,1.5,2.2,0.3,0.2,0.5,0.6,1.2,3.4,0
134,135,Dorian Finney-Smith,PF,30,BRK,34,23,28.8,3.6,8.4,0.432,2.3,5.6,0.411,1.3,2.8,0.474,0.57,0.2,0.3,0.8,1.9,2.9,4.9,1.3,0.7,0.5,0.8,2.3,9.9,0
135,136,Malachi Flynn,PG,25,TOT,34,0,14.1,1.6,4.1,0.403,0.8,2.4,0.346,0.8,1.7,0.483,0.504,0.6,0.7,0.792,0.4,1.6,1.9,2.1,0.5,0.2,1.0,1.2,4.7,0
136,137,Simone Fontecchio,SF,28,UTA,37,21,22.5,3.2,7.1,0.449,1.8,4.6,0.39,1.4,2.5,0.56,0.576,0.7,0.9,0.771,0.9,2.3,3.2,1.3,0.6,0.4,1.1,1.7,8.9,0
137,138,Jordan Ford,PG,25,SAC,6,0,3.7,0.7,1.2,0.571,0.3,0.5,0.667,0.3,0.7,0.5,0.714,0.3,0.3,1.0,0.0,0.3,0.3,0.3,0.0,0.0,0.2,0.0,2.0,0
138,139,Trent Forrest,SG,25,ATL,11,0,10.2,0.9,2.3,0.4,0.0,0.3,0.0,0.9,2.0,0.455,0.4,0.5,0.5,1.0,0.4,1.2,1.5,1.7,0.3,0.1,0.5,1.0,2.4,0
139,140,Evan Fournier,SG,31,NYK,2,0,16.5,2.0,8.0,0.25,1.0,6.0,0.167,1.0,2.0,0.5,0.313,1.0,1.0,1.0,0.0,1.5,1.5,1.5,2.0,0.0,0.5,1.0,6.0,0
140,141,De'Aaron Fox,PG,26,SAC,31,31,35.1,10.0,21.1,0.472,3.3,8.3,0.393,6.7,12.8,0.524,0.55,4.7,6.6,0.717,0.9,3.3,4.2,5.8,1.6,0.4,2.6,2.5,27.9,0
141,142,Alex Fudge,SF,20,LAL,4,0,3.5,0.3,1.5,0.167,0.0,0.5,0.0,0.3,1.0,0.25,0.167,0.5,0.5,1.0,0.5,0.0,0.5,0.0,0.0,0.0,0.3,0.3,1.0,0
142,143,Markelle Fultz,PG,25,ORL,7,5,24.4,4.1,9.3,0.446,0.0,0.4,0.0,4.1,8.9,0.468,0.446,0.4,1.1,0.375,1.3,1.9,3.1,3.7,1.0,0.3,1.0,0.9,8.7,0
143,144,Daniel Gafford,C,25,WAS,34,34,26.0,4.2,6.2,0.679,0.0,0.0,0.0,4.2,6.2,0.679,0.679,2.0,2.8,0.726,2.7,5.0,7.7,1.6,0.9,2.1,1.0,3.4,10.5,0
144,145,Danilo Gallinari,PF,35,WAS,26,0,14.8,2.2,5.0,0.435,0.8,2.5,0.313,1.4,2.6,0.552,0.511,1.8,2.2,0.839,0.5,2.5,2.9,1.2,0.2,0.1,0.5,1.0,7.0,0
145,146,Darius Garland,PG,24,CLE,20,20,34.0,7.6,16.1,0.47,1.8,5.2,0.346,5.8,10.9,0.53,0.526,3.8,4.6,0.835,0.6,2.2,2.8,5.9,1.6,0.2,3.8,1.6,20.7,0
146,147,Usman Garuba,PF,21,GSW,2,0,3.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.0,0
147,148,Luka Garza,C,25,MIN,7,0,3.1,0.7,2.3,0.313,0.0,0.7,0.0,0.7,1.6,0.455,0.313,0.7,1.1,0.625,0.6,0.6,1.1,0.3,0.0,0.0,0.3,1.0,2.1,0
